QUESTION,BT LEVEL
List THREE types of Atomic Force Mircroscopes (AFM).,Remembering
Differentiate between Gibbs adsorption equation and dynamic surface tension in the study of adsorption at interfaces. ,Analyzing
Sketch the Type Il isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm. ,Applying
"Explain in detail the chemisorptions of hydrocarbon (eg. alkene, alkyne etc). Focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.",Understanding
Briefly explain how the aggregation processes could improve the water quality in a water treatment plant.,Understanding
Briefly explain why formation of solid forms in final product such as glasses and bottles in glass industry is a disadvantage. ,Understanding
Give FOUR information that can be obtained from Scanning Electron Miscroscope (SEM).,Understanding
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable. ,Analyzing
Describe the electrokinetic phenomenon. ,Understanding
Briefly explain why coating a nanoparticle or surface with a polyelectrolyte (polymer with ionizable groups) is favourable. ,Understanding
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,Remembering
Briefly explain why surface tension remains constant once critical micelle concentration (CMC) is reached. ,Understanding
Briefly explain and draw the structure of dilute foams and concentrated foams. ,Understanding
Sketch the Type III isotherm and provide a brief description of its nature and the processes that give rise to the isotherm. ,Applying
Briefly explain the differences between a Langmuir-Blodgett (LB) monolayer and a self-assembled monolayer (SAM). ,Understanding
Briefly explain the Auger process. ,Understanding
Give TWO advantages of X-Ray Photoelectron Spectroscopy (XPS). ,Understanding
List the information that can be obtained from X-Ray Photoelectron Spectroscopy (XPS). ,Remembering
Briefly explain how aggregation processes could improve the water quality in a water treatment plant. ,Understanding
Draw the hexapeptide Gly-Phe-Asp-Leu-Ala-Glu. Identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.,Understanding
"Describe the common structural features of phosphatidylserine, phosphatidylethanolamine, phosphatidylcholine and phosphatidylinositol. State their general function(s). ",Understanding
Explain the processing of eukaryotic mRNA transcripts prior to translation. Indicate the chemical bases for each step. ,Understanding
Justify whether tRNA or mRNA would be more extensively hydrogen bonded. ,Evaluating
"List the five groupings of amino acids based on the R groups, Give one example for each group. ",Understanding
Name and briefly describe three types of column chromatography used in protein purification.,Understanding
Define the chemical interaction indicated by the arrows. Identify the binding region of an antigen on the antibody structure.,Understanding
Name the four different types of interactions involved in building the tertiary structure of proteins and give one denaturing agent for each.,Understanding
Name the two classes of monosaccharide. Draw and name the simplest structure of molecule in each class. ,Understanding
Write short notes on the structure and functions of polysaccharides by giving relevant example. ,Understanding
"List the three types of RNA involved in the transcription and translation, and briefly explain their functions. ",Understanding
Briefly describe the formation of disulfide bond. Suggest ONE role of disulfide bond. ,Creating
Name FOUR enzymes in DNA replication and state their functions. ,Understanding
Compare and contrast continuous and discontinuous replications. ,Analyzing
Write short notes on the structure of RNA. ,Understanding
 Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analyzing
List three characteristics that are unique to the Cubist movement.,Remembering
Classify celebrations into family and community categories.,Understanding
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analyzing
Identify ordinal positions,Remembering
Identify fractions from a pictorial representation,Remembering
Select the best title for a passage,Understanding
Evaluate board games and justify why rules are important.,Evaluating
Organize this book into three or more sections and give your own subtitle for each section.,Creating
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Creating
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.  ,Understanding
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analyzing
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Applying
Which of the two liquids is hypotonic ,Remembering
Design a poster for this book.,Creating
Is there a better solution to . . .?,Evaluating
Relate the principle of reinforcement to classroom interactions.,Applying
Compose a class story.,Creating
Describe what goes in each of the four areas on the first page of notes,Understanding
Judge aesthetic qualities and relationship to future values.,Evaluating
Compare how different children come to school.,Analyzing
Justify your choice of data structure.,Creating
"How do I differentiate between ""deceive"" and ""cheat on""?",Analyzing
How did Chinese newspapers differ from US,Analyzing
Label the parts of the following insects: Grasshopper,Remembering
recall the supply voltage constraints,Remembering
Can you differentiate between ethnic Chinese and ethnic Koreans,Analyzing
What is the setting of To Kill a Mockingbird?,Remembering
  Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Applying
Write a short story relating a personal experience in the style of a picaresque novel.,Creating
Predict the differences of a planet with no seasonal changes.,Creating
"If notes are available on the professor’s website, how should those notes be used?",Applying
Are there students who should not use the Cornell method?,Evaluating
Create an equation to represent the solution to this problem.,Creating
When did you born ?,Remembering
in which continent does the state of suriname fall,Remembering
Revises and process to improve the outcome.,Creating
Why don’t you devise your own way to deal with . . .?,Creating
How do psychologists differ in their general attitudes toward third party presence,Analyzing
Develop a plan for a new Olympic Bid System.,Creating
How does your pet differ from other animals?,Analyzing
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analyzing
Take a collection of photographs to demonstrate a particular point.,Applying
Explain the whole method of crushing,Understanding
Do you think . . . is a good or a bad thing?,Evaluating
how the investigation was undertaken,Analyzing
Decide which method of solving a problem was most effective ,Evaluating
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluating
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluating
 How do we differentiate between an interview and an interrogation?,Analyzing
How to construct simple solutions when problems are complex?,Applying
Recall the following pictoral example of an implementation of some queue operations,Remembering
 Estimate the epicentral coordinates of the earth-quake,Evaluating
Contrast building in the coastal zone with building in a river floodplain.,Analyzing
suggest ways in which it could have responded more effectively,Evaluating
Relate topographic map to field features,Applying
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluating
Identify the correct definition of osmosis.,Remembering
 would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Understanding
Judge the value of . . .?,Evaluating
Decide which course of action was most effective ,Evaluating
List the steps involved in titration.,Remembering
How do we construct agents that can deliver. “good” assistance,Applying
Estimate the difficulty of the question,Evaluating
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Applying
design a cost effective strategy to generate reliable data.,Creating
Retell the story in your words.,Understanding
How would you decide about...?,Evaluating
"Draw 3 pictures showing the beginning, middle and ending of the story.",Applying
List four types of clauses mentioned in the article,Remembering
How do teenagers use code in emails and instant messages?,Applying
when was the first airport in the yemen built,Remembering
Calculate for x in the following equation: 12x=36,Applying
State in your own words the rule for balls and strikes in baseball.,Understanding
Plan a research paper on a given historical topic,Creating
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluating
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Remembering
Can you distinguish pot still rums from column still rums by taste,Analyzing
Write a logically organized argument in favor of a given position.,Creating
Compare and contrast animals that the class has made.,Analyzing
Explain in your own words what do you mean by the term economics?,Understanding
How much did he pay for his car,Remembering
Explain how Timothy saved Phillip's life.,Understanding
State the rule for using a semicolon in a sentence.,Remembering
Name one character. Rewrite the story from this character's point of view.,Creating
when did the first saudi radio station open,Remembering
List the characteristics peculiar to the Cubist movement.,Remembering
In one sentence explain the main idea of a written passage.,Understanding
Classify types of corrosion inhibitors  ,Understanding
"Show, through role-play, the final scene in the novel.",Applying
"improved, reformed or rejected?",Evaluating
Show how E-CRM can be used to improve marketing positioning as explained in the article,Applying
"Divide the story into initiating event, rising action, climax, and falling action",Analyzing
Evaluate the corrosion monitoring needs of a chemical processing plant ,Evaluating
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluating
Do you agree...?,Evaluating
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Creating
 Develop a network based on the following information: Activity Immediate predecessors,Creating
List the levels in Bloom's Taxonomy.,Remembering
 Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Applying
From a blueprint to describe the article depicted.,Understanding
Apply laws of statistics to evaluate the reliability of a written test.,Applying
Select the most effective solution.,Evaluating
How would you show your understanding of the ABC process,Applying
Make a list of facts you learned from the story.,Remembering
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Applying
Combine any two sports to develop a new Olympic sport.,Creating
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Creating
Compare fall and spring,Analyzing
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,Applying
What questions would you ask if . . .?,Applying
Construct an analog circuit with the following specifications,Applying
Place the following in order of priority...,Evaluating
How was this similar to . . .?,Analyzing
Summarize the main point of these two texts in your own words ,Understanding
Do you devise a systematic approach in order to get larger progressions,Creating
Draw a picture of the bears' house.,Applying
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Creating
What do you think is the best thing about coming to Viestal?,Evaluating
Who was the writer of the Hamilton ,Remembering
How does one specify the syntactical restrictions,Applying
Devise a new economic system based on the ones that already exist.,Creating
Analyze the characteristics of frogs.,Analyzing
Draw the basic outline of a page of notes using the Cornell Method?,Remembering
Correctly label the brain lobes indicated on the diagram below,Remembering
Which technology is used by laser printer,Remembering
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article ",Analyzing
How do we differentiate between genuine buyer and undercover buyer,Analyzing
How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluating
 How do you construct foliations on a given manifold M?,Applying
" Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Understanding
Can you develop a proposal which would . . .?,Creating
Identify the five major prophets of the Old Testament.,Remembering
Tell in your own words how the setting of the story made it more interesting.,Understanding
 Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Applying
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analyzing
Draw a picture of the gown Cinderella wore to the ball.,Applying
If you had access to all resources how would you deal with . . .?,Creating
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Creating
Compare three celebrations using a Venn diagram.,Analyzing
Analyze safe and dangerous aspects of these features.,Analyzing
How would you create/design a new...?,Creating
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Evaluating
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Creating
How does Hawaii contrast and compare to Florida?,Analyzing
State the characteristics of each type of corrosion testing studied,Remembering
Discuss the nature of socialism.,Understanding
Recall basic math facts,Remembering
Estimate expenditure on HIV/AIDS education,Evaluating
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Applying
What criteria would you use to assess...?,Evaluating
Design costumes for the characters.,Creating
Compose a simple rap or rhyme about zoo animals.,Creating
Can you distinguish aged rums from unaged rums by smell,Analyzing
In one sentence illustrate the main point of a written passage.,Understanding
Analyze the movements and sounds of a frog.,Analyzing
State the definition of Applying in Bloom's Taxonomy.,Remembering
Can you compare your . . . with that presented in . . .?,Analyzing
Can you state in your own words what the problem is asking you to do,Understanding
Predict what will happen next in.,Evaluating
Compose a rhythm or put new words to a known melody.,Creating
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluating
Explain in your own words what a recessive gene is.,Understanding
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Applying
Identify one problem in the book and give an alternate solution one not given by the author.,Creating
Compare the place where the story happened with where you live.,Analyzing
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Creating
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluating
"In your own words, how would you summarize the story up ",Understanding
State the formula for the area of a circle,Remembering
Can you create new and unusual uses for . . .?,Creating
Select the athlete of the century and analyze why you chose this person.,Analyzing
Can you design a . . . to . . .?,Creating
Conduct an investigation to produce information to support a view.,Analyzing
Compare and contrast our school to other communities.,Analyzing
How many states are there in USA,Remembering
Do you think that this statement conveys the idea that i am trying to portray,Evaluating
About what proportion of the population of the US is living on farms?,Remembering
What would you do if a heavy growth of bacteria had occurred ,Applying
Invent a machine to do a specific task.,Creating
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluating
Define the meaning of the Olympic Motto.,Remembering
Assess the importance of understanding seasonal patters.,Evaluating
Use Laplace to solve the following problems,Applying
How many years does this animal live?,Remembering
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluating
"Identify a property (commutative, additive, etc(",Remembering
Revise and process to improve the outcome.,Creating
Briefly describe the author's approach to the liabilities of the GOTO statement,Understanding
"If your story happened in a foreign land, compare that land to the United States.",Analyzing
Are you a . . . person?,Evaluating
Compute the area of actual circles.,Applying
 Construct one Turing Machine for computing each of the following functions,Applying
Design a new animal to live in the jungle.,Creating
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Understanding
List reserved words in C programming.,Remembering
Develop a SQA Plan for a software development project which is defined in the attached document.,Creating
Specify a deterministic finite automaton (DFA) recognizing the,Applying
Evaluate appropriate and inappropriate actions of characters.,Evaluating
Appraise the speech's effectiveness based upon the class' criteria.,Evaluating
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluating
Use the rule for a semicolon in a sentence.,Applying
Compare and contrast two characters in the book.,Analyzing
"Rewrite the sentence in your head, following the direction given below",Understanding
What do you think is the mass and why,Evaluating
Compare two of the characters in this book.,Analyzing
Explain what a poem means.,Understanding
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluating
Interpret the pictures.,Understanding
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analyzing
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analyzing
How many loop statement available in c++?,Remembering
Describe what took place as the Hato was sinking.,Understanding
Who is the first president   of USA,Remembering
Justify the title To Kill a Mockingbird .,Evaluating
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluating
What would you predict/infer from...?,Creating
State four attributes of well engineered software.,Remembering
Make a diagnosis or analyze a case study.,Analyzing
Describe nuclear transport to a lay person.,Understanding
"Evaluate a work of art, giving the reasons for your Evaluating.",Evaluating
Recall locations of a historical events,Remembering
Create a storyboard for a sequel to your book. Use the same characters.,Creating
How does Tdap differ from Td vaccine,Analyzing
Estimate roughly how long the collision process takes,Evaluating
Break down the main actions of the story.,Analyzing
How could we determine the number of pennies in a jar without counting them?,Creating
Compose music for a frog play.,Creating
Define four types of traceability.,Remembering
What is  your family name,Remembering
Draw and label a diagram of a typical stream.,Remembering
How much is your weight,Remembering
How is scientific progress similar to Darwinian evolution according to Kuhn,Analyzing
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluating
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluating
 Examine carefully the given map extract on the following page to help you work out the exercise below.,Analyzing
Construct a Venn diagram to determine the validity of the given argument.,Applying
Distinguish between the following giving suitable examples,Analyzing
Compare herbatious and carnivorous animals on a Venn diagram.,Analyzing
Draw the block diagram of the central processing unit ,Remembering
What would result if …,Applying
Describe 4 types of coupling in software design.,Understanding
Recall the definition of the formula datatype from your assignment 2.,Remembering
What are major facts about particular cultures and societies,Remembering
Can you find four different feelings Pa Lia had during the story?,Analyzing
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Applying
Show me how you would check the brake lights are working on this car,Applying
Draw the flow chart of the PNK system,Remembering
Compare Calliope with Howie. Use the word bank.,Understanding
Investigate innovations that can enhance future Olympics.,Analyzing
Demonstrate using the OPAC and your Remembering of library organization to find a book about turtles.,Applying
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Understanding
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluating
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Understanding
How would you change the story to create a different ending?,Creating
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Evaluating
State the guidelines to design an anodic protection system,Remembering
Create a new product. Give it a name and plan a marketing campaign.,Creating
Describe how the linear polarization method can yield corrosion rates,Understanding
What is a textual index,Remembering
Construct the 4-Bit Ripple carry Adder Circuit,Applying
How is . . . similar to . . .?,Analyzing
How does autonomy differ with age,Analyzing
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluating
Critically examine the strengths and weaknesses of the positivist paradigm,Analyzing
Rewrite a part in the poem using a different speaker,Understanding
when was the UN formed ,Remembering
Select the best proposal for a proposed water treatment plant.,Evaluating
How was life different in your town 100 years ago?,Analyzing
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Applying
Write a poem about this book.,Creating
 Examine the differences between the model excluding the most influential observation and the model including all observations.,Analyzing
How do you analyze a marginally RCT ,Analyzing
Make a scrapbook about the areas of study.,Applying
Develop and execute a program for this exercise,Creating
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluating
Describe what happened at...?,Understanding
Can you defend your position about . . .?,Evaluating
Use a manual to calculate an employee's vacation time.,Applying
 How can we combine and abstract facts about a software system to create new Remembering?,Creating
Choose and illustrate the two most important events in the story.,Evaluating
How would you restructure the school day to reflect children's developmental needs?,Creating
How effective are . . .?,Evaluating
Derive a kinetic model from experimental data.,Applying
Prepare a book jacket that illustrates the kind of book as well as the story.,Creating
Make up a puzzle game using the ideas from the study area.,Applying
Distinguish facts from hypotheses,Analyzing
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Applying
Integrate training from several sources to solve a problem.,Creating
Describe the major clinical differences between visceral and somatic pain,Understanding
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your Analyzing.,Analyzing
State the pattern for expressing time in French.,Remembering
Tell in your own words the beginning of the book.,Understanding
Model an Olympic Village for the new Millenium.,Applying
Name the property that states that,Remembering
Define mercantilism.,Remembering
What is the most important...?,Evaluating
Describe how Phillip and Timothy survived on the Cay.,Understanding
judge the difficulty level for yourself.,Evaluating
Can you write a new recipe for a tasty dish?,Creating
Describe in your own words what happens when a stream's velocity slows.,Understanding
Construct a market strategy for your product using a known strategy as a model.,Applying
Show how they have used creative writing strategies appropriate to the format,Applying
Identify the standard peripheral components of a computer.,Remembering
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Applying
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluating
How many instructions in the instruction set of RISC computer?,Remembering
In Which part of the world does he live ,Remembering
What are the representational symbols on maps and charts,Remembering
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Understanding
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,Evaluating
Explain the possible uses described in class for the space to the left of the vertical line.,Understanding
Make a radio announcement that advertise the book. Write it out.,Creating
State the rule for balls and strikes in baseball.,Remembering
State how to find a word in a dictionary,Remembering
Identify a phrase as a simile,Remembering
What does ICT stands for.,Remembering
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Applying
Can you solve the following problem ,Applying
" Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analyzing
How would you investigate this patient,Analyzing
Complete an analogy (analogy tasks are inference tasks),Understanding
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Applying
Write a set of rules to prevent what happened in the story.,Creating
 Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analyzing
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Understanding
Which of the following item does not belong to the set ?,Remembering
Recall the equation for the Ideal Gas Law.,Remembering
"Develop a way to teach the concept of ""adjectives"".",Creating
Can you group by characteristics such as . . .?,Applying
What is the title of the first movie you saw ,Remembering
Would you solve these two problems using similar approaches,Applying
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analyzing
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analyzing
Describe in prose what is shown in graph form.,Understanding
How much data can be stored in the cach memory,Remembering
 sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,Applying
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",Understanding
How would you have handled . . .?,Evaluating
Differentiate between .call by value and call by reference.,Analyzing
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Applying
"Analyze the problem, identifying its variables.",Analyzing
Develop a hypothesis.,Creating
" Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Understanding
Establish criteria for making this choice and defend your final selection.,Evaluating
Devise plans to market or make artwork more valuable.,Creating
How does public health reporting differ today from reporting two years before,Analyzing
How does...compare/contrast with...?,Analyzing
Can you distinguish between . . .?,Analyzing
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analyzing
Decide which candidate would best fill the position of principal.,Evaluating
Investigate whether or not the system can be solved for x; y; z ,Analyzing
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analyzing
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Understanding
"Create a new song for the opening line of ""Mary had a little lamb"".",Creating
Describe in your own words what is meant by a sprained ankle.,Understanding
How could you re-write this story with a city setting?,Creating
Compare and contrast the waterfall model with the prototyping model.,Analyzing
Name the artist who painted the Mona Lisa.,Remembering
Sketch a typical absorption process in a packed column with regeneration in form of,Applying
Summarize the basic tenets of deconstructionism.,Understanding
Describe the output of this program fragment:,Understanding
Express the following percentages as fractions in simplest form,Understanding
What is part of this book did you like best. Tell why you like it?,Evaluating
How would you classify the geographic location of your school,Understanding
Rewrite the principles of test writing.,Understanding
Please label the diagram below:,Remembering
Recite a policy of immigration in Europe .,Remembering
What are the major products and exports of countries,Remembering
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Understanding
How much time did he took to build a house,Remembering
Differentiate the following functions using the quotient rule,Analyzing
Examine differences between the means of each individual switching factor.,Analyzing
Recite the principles of the Data Protection Act.,Remembering
How would you relate position concept with position strategy,Applying
What are the units of corrosion penetration rates? Relate these to Faraday's law,Remembering
Explain in one's own words how to create a query in a database.,Understanding
Determine the author’s point of view,Understanding
What are the structure or functions of Congress,Remembering
"Define stream bank, floodplain and substrate.",Remembering
Recite the the Gaussian law,Remembering
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.  ",Evaluating
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible ",Evaluating
How would you differentiate a project from a program,Analyzing
How to combine virtual symmetry and symbolic model checking effectively,Creating
What ideas can you add to...?,Creating
"Combine elements of drama, music, and dance into a stage presentation.",Creating
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,Creating
What would happen if the rainfall doubled in your state next year,Applying
Who can use what we know about sonnets and finish this poem?,Applying
Design a building according to given specifications,Creating
How to construct the selected information system,Applying
Can you apply the method used to some experience of your own . . .?,Applying
What is a global variable?,Remembering
 How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analyzing
Explain choices made in making recommendations to an end user.,Evaluating
Would you have liked to have had Cinderella for a sister? Explain why or why not.,Evaluating
Translate an equation into a spreadsheet formula.,Understanding
Choose a paint schedule for the maintenance of an outdoor structure? (level 2) ,Evaluating
Distinguish between micro and macro economics.,Analyzing
Write a list of criteria to judge the Willy raps.,Evaluating
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,Applying
Justify and nominate ways to prevent animal extinction.,Evaluating
Determine if a character’s actions were heroic ,Evaluating
What criteria would you use to assess the validity of a business contract?,Evaluating
How to Construct the Optimal Maintenance Problem,Applying
Recommend how our classroom or playground could be improved.,Evaluating
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Applying
How much water does an elephant drink,Remembering
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluating
Compose a complete C program that reads text strings from a text file into a suitable data,Creating
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Applying
Revise the story and specify the type of audience that would enjoy this book.,Evaluating
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Creating
Express the rule in function notation,Understanding
Use Gauss’ Law to find the electric field between the plates when the charge on them is Q,Applying
Decide whether you learned enough about electricity from this book.,Evaluating
Translate the following passage from The Iliad into English.,Understanding
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluating
Determine the next number in a sequence,Understanding
"In your own words, how would you define transferable skills",Understanding
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analyzing
Show the value of x after running this program fragment,Applying
How would you feel if . . .?,Evaluating
"Given an argument on any position, enumerate the logical fallacies in that argument.",Evaluating
 Outline your experience in working with service users,Understanding
Apply shading to produce depth in drawing.,Applying
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Understanding
Classify animals into two groups.,Understanding
What are the parts or features of...?,Analyzing
Categorise the pictures and add them to the wall display.,Applying
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Applying
What approach would you use to prove the truth of the below statement ,Applying
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Creating
Label any Olympic sporting apparatus with design features.,Remembering
What season are we in right now?,Remembering
What do you think are the strengths of using integrated math in your program?,Evaluating
What might happen if you combined...?,Creating
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process? ",Analyzing
Differentiate printf function calls for displaying prompts and for echoing data.,Analyzing
Can you analyze the fractures and determine which should be repaired surgically,Analyzing
"Given the data available on a research question, take a position and defend it.",Evaluating
Create a chart that compares things that use electricity and things that do NOT use electricity.,Creating
In what ways do female offenders differ from male offenders,Analyzing
Draw a painting that uses various principles of perspective to achieve its effect.,Creating
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Creating
Compute the volume of a cylinder,Applying
Revise how to complete a complex task in order to improve the outcome.,Creating
Design a machine to perform a specific task.,Creating
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",Evaluating
Inspect the pattern of GPS positions relative to the “known” published value,Analyzing
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analyzing
Create and perform a play about frogs.,Creating
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analyzing
What changes to . . . would you recommend?,Evaluating
Explain and justify a new budget.,Evaluating
Compose a device that would assist an athlete in their training.,Creating
Make up a new language code and write material using it.,Creating
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluating
Express the following systems in matrix form,Understanding
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analyzing
Rewrite you predicted equation for the ideal gas law,Understanding
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Creating
Identify the part of a eukaryotic cell.,Remembering
How does an endorsement differ from a teaching certificate,Analyzing
Defend your use of a specific strategy in solving the problem.,Evaluating
Evaluate whether their model is a true representation of the local environment.,Evaluating
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluating
 Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluating
Differentiate between the following terms along with appropriate examples,Analyzing
What happens if you change the direction of the displacement (but not its size)?,Applying
Make a paper-mache map to include relevant information about an event.,Applying
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluating
When did the second world war happen ,Remembering
Conclude and support which economic system leads to a higher standard of living.,Evaluating
"Classify the following substances as particle, atom, element, molecule, compound",Understanding
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluating
"Recite the poem ""Auto Wreck"".",Remembering
How does your agency inspect against its expectation for operators ,Analyzing
when did saudi arabia start using internet,Remembering
How do you think the community should grow or change,Evaluating
Outline the most important insight of the tale.,Understanding
Rewrite the markov matrix to account for this slight change.,Understanding
how do we devise a way to enforce the laws,Creating
Explain the communicative property.,Understanding
Outline the aim of two studies within the ,Understanding
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Understanding
